Source,OrgName,BvD ID number,vatNumber,ISO code,NACE Rev. 2,NACE main section,Operating rev,No of employees
auto_8548,SCIO HOLDING GMBH,AT9070316166,NaN,AT,7120,"M - Professional, scientific and technical activities",NaN,NaN
auto_8566,SEAT SA,ESA28049161,ESA28049161,ES,2910,C - Manufacturing,11662625,14456
auto_8677,"SHANGHAI DIANBA NEW ENERGY TECHNOLOGY CO., LTD.",CN9370144966,NaN,CN,2611,C - Manufacturing,26740,170
auto_8690,SHENZHEN ZHONG QING TECHNOLOGY CO LTD,ESN7203598C,NaN,ES,4791,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,NaN,NaN
auto_8743,SIEMENS MOBILITY GMBH,DE8171149419,NaN,DE,7200,"M - Professional, scientific and technical activities",4715069,13835
auto_8786,"SIMOLDES - PLASTICOS, S.A.",PT501220267,NaN,PT,2229,C - Manufacturing,121372,1091
auto_8810,SISEDIR SERVICIOS CONSULTING SOCIEDAD LIMITADA.,ESB98974991,NaN,ES,8299,N - Administrative and support service activities,NaN,NaN
auto_8835,SKODA AUTO A.S.,CZ00177041,CZ00177041,CZ,2910,C - Manufacturing,20189070,35063
auto_8997,SOMMERMANN KG,DE8110000537,NaN,DE,1419,C - Manufacturing,NaN,70
auto_916,AUDI AG,DE8130008438,NaN,DE,2910,C - Manufacturing,67974385,87996
auto_919,AUDI MUENCHEN GMBH,DE8170757129,NaN,DE,4510,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,NaN,457
auto_9206,"STRATOSPHERE, S.A.",PT508339855,NaN,PT,6201,J - Information and communication,1046,10
auto_921,AUDIO MOBIL ELEKTRONIK GMBH,AT9070104882,NaN,AT,2640,C - Manufacturing,NaN,32
auto_926,"AULTON NEW ENERGY AUTOMOTIVE TECHNOLOGY CO., LTD.",CN9460304269,NaN,CN,7490,"M - Professional, scientific and technical activities",16343,NaN
auto_9409,TANGI0 LTD,GB09787762,GB231494028,GB,7219,"M - Professional, scientific and technical activities",NaN,27
auto_9423,TB DEU ABWICKLUNGS-AKTIENGESELLSCHAFT,DE8010000324,NaN,DE,2932,C - Manufacturing,NaN,NaN
auto_9471,TECHNISCHE UNIVERSITAET GRAZ,AT9030057739,ATU57477929,AT,8559,P - Education,NaN,1989
auto_9687,THE REGENTS OF THE UNIVERSITY OF MICHIGAN CORP.,US144626167L,NaN,US,8541,P - Education,810000,1300
auto_9749,THYSSENKRUPP AG,DE5110216866,NaN,DE,2410,C - Manufacturing,40477612,96494
auto_9753,THYSSENKRUPP DYNAMIC COMPONENTS TECCENTER AG,LIFL00022412078,NaN,LI,7112,"M - Professional, scientific and technical activities",NaN,326
auto_9758,THYSSENKRUPP PRESTA AKTIENGESELLSCHAFT,LIFL00010025495,NaN,LI,2550,C - Manufacturing,NaN,NaN
auto_9760,THYSSENKRUPP STEEL EUROPE AG,DE5070166499,DE812178585,DE,7010,"M - Professional, scientific and technical activities",14032183,26304
auto_981,AUTONEUM FRANCE,FR596820332,NaN,FR,2932,C - Manufacturing,158224,NaN
auto_9880,TOYOTA MOTOR CORPORATION,JP1180301018771,NaN,JP,2910,C - Manufacturing,278351047,375235
auto_9963,TRUE GLOBAL COMPANY S.R.L.,IT07820451214,NaN,IT,6202,J - Information and communication,3271,6
